"part","term","statistic","(1)","(2)","(3)","(4)","(5)"
"estimates","(Intercept)","estimate","0.002","-0.074","0.151","-0.021","1.134"
"estimates","(Intercept)","std.error","(0.145)","(0.174)","(0.177)","(0.146)","(0.562)"
"estimates","fr_30_41","estimate","1.193","1.141","1.196","1.125","1.062"
"estimates","fr_30_41","std.error","(0.496)","(0.466)","(0.506)","(0.501)","(0.466)"
"estimates","L_inf","estimate","","0.021","","",""
"estimates","L_inf","std.error","","(0.049)","","",""
"estimates","L_tb3ms","estimate","","","-0.029","",""
"estimates","L_tb3ms","std.error","","","(0.032)","",""
"estimates","LD_oilP","estimate","","","","0.576",""
"estimates","LD_oilP","std.error","","","","(0.616)",""
"estimates","L_unrate","estimate","","","","","-0.178"
"estimates","L_unrate","std.error","","","","","(0.078)"
"gof","Num.Obs.","","173","173","173","172","173"
"gof","R2","","0.195","0.197","0.201","0.200","0.249"
"gof","R2 Adj.","","0.191","0.188","0.192","0.191","0.240"
"gof","AIC","","519.4","521.1","520.2","515.5","509.6"
"gof","BIC","","525.7","530.5","529.6","525.0","519.1"
"gof","RMSE","","1.07","1.07","1.07","1.06","1.04"
"gof","Std.Errors","","Newey-West (L=5)","Newey-West (L=5)","Newey-West (L=5)","Newey-West (L=5)","Newey-West (L=5)"
